title,description,styles,toppings_fillings,size,is_standard_recipe,amount,nutrition,dough_id
Annie Buddyhome,description for Annie Buddyhome,SPECIALITY,SEAFOOD,MEDIUM,true,10,1023,3
Art Exhibit,description for Art Exhibit,SPECIALITY,SEAFOOD,MEDIUM,true,15,1532,5
Hal E. Luya,description for Hal E. Luya,CLASSIC_ITALIAN,VEGETABLES,LARGE,true,14,1246,4
Ali Katt,description for Ali Katt,SPECIALITY,CHEESE,MEDIUM,true,21,1385,1
Brooke Waters,description for Brooke Waters,SPECIALITY,SEAFOOD,SMALL,true,20,1452,6
Joy Kil,description for Joy Kil,CLASSIC_ITALIAN,MEAT,LARGE,false,19,1118,3
Rusty Fossat,description for Rusty Fossat,SPECIALITY,VEGETABLES,SMALL,false,12,1335,3
George Washington Sleptier,description for George Washington Sleptier,AMERICAN,VEGETABLES,MEDIUM,true,11,1469,3
Barry D'Alive,description for Barry D'Alive,SPECIALITY,CHEESE,SMALL,true,17,1138,1
Howie Doohan,description for Howie Doohan,SPECIALITY,VEGETABLES,SMALL,false,11,919,1
Hein Noon,description for Hein Noon,AMERICAN,MEAT,SMALL,false,8,756,5
Dwayne Pipe,description for Dwayne Pipe,AMERICAN,CHEESE,SMALL,false,18,920,5
Noah Riddle,description for Noah Riddle,AMERICAN,CHEESE,MEDIUM,false,17,1700,2
Brandon Irons,description for Brandon Irons,SPECIALITY,CHEESE,LARGE,true,19,1472,3
Barb Dwyer,description for Barb Dwyer,SPECIALITY,MEAT,SMALL,true,11,810,4
Clara Sabell,description for Clara Sabell,AMERICAN,SEAFOOD,MEDIUM,false,15,1107,6
Lisa Ford,description for Lisa Ford,SPECIALITY,VEGETABLES,SMALL,true,10,1204,2
Warren T.,description for Warren T.,CLASSIC_ITALIAN,CHEESE,LARGE,false,24,1559,2
Molly Kuehl,description for Molly Kuehl,SPECIALITY,CHEESE,SMALL,false,16,1485,3
Bart Ender,description for Bart Ender,CLASSIC_ITALIAN,SEAFOOD,LARGE,true,16,1215,3
Rusty Nails,description for Rusty Nails,CLASSIC_ITALIAN,SEAFOOD,LARGE,true,20,1235,5
Carl Arm,description for Carl Arm,CLASSIC_ITALIAN,CHEESE,MEDIUM,false,12,1176,4
Howie Doohan_123,description for Howie Doohan_123,SPECIALITY,VEGETABLES,SMALL,true,18,1017,1
Justin Thyme,description for Justin Thyme,CLASSIC_ITALIAN,VEGETABLES,SMALL,false,12,1175,6
Olive Green,description for Olive Green,CLASSIC_ITALIAN,MEAT,LARGE,false,19,1453,5
Liv Long,description for Liv Long,AMERICAN,MEAT,LARGE,true,15,1489,1
Helen Highwater,description for Helen Highwater,SPECIALITY,SEAFOOD,SMALL,false,18,1299,6
Cole Kutz,description for Cole Kutz,SPECIALITY,CHEESE,MEDIUM,true,16,1041,5
Eve Hill,description for Eve Hill,SPECIALITY,CHEESE,SMALL,true,21,1005,1
Brandon Irons Cook,description for Brandon Irons Cook,SPECIALITY,CHEESE,LARGE,true,8,845,1
